Date,Susceptible,Confirmed,Fatal,Recovered
22-01-2020,1352617328,0,0,0
23-01-2020,1352617328,0,0,0
24-01-2020,1352617328,0,0,0
25-01-2020,1352617328,0,0,0
26-01-2020,1352617328,0,0,0
27-01-2020,1352617328,0,0,0
28-01-2020,1352617328,0,0,0
29-01-2020,1352617328,0,0,0
30-01-2020,1352617327,1,0,0
31-01-2020,1352617327,1,0,0
01-02-2020,1352617327,1,0,0
02-02-2020,1352617326,2,0,0
03-02-2020,1352617325,3,0,0
04-02-2020,1352617325,3,0,0
05-02-2020,1352617325,3,0,0
06-02-2020,1352617325,3,0,0
07-02-2020,1352617325,3,0,0
08-02-2020,1352617325,3,0,0
09-02-2020,1352617325,3,0,0
10-02-2020,1352617325,3,0,0
11-02-2020,1352617325,3,0,0
12-02-2020,1352617325,3,0,0
13-02-2020,1352617325,3,0,0
14-02-2020,1352617325,3,0,0
15-02-2020,1352617325,3,0,0
16-02-2020,1352617322,3,0,3
17-02-2020,1352617322,3,0,3
18-02-2020,1352617322,3,0,3
19-02-2020,1352617322,3,0,3
20-02-2020,1352617322,3,0,3
21-02-2020,1352617322,3,0,3
22-02-2020,1352617322,3,0,3
23-02-2020,1352617322,3,0,3
24-02-2020,1352617322,3,0,3
25-02-2020,1352617322,3,0,3
26-02-2020,1352617322,3,0,3
27-02-2020,1352617322,3,0,3
28-02-2020,1352617322,3,0,3
29-02-2020,1352617322,3,0,3
01-03-2020,1352617322,3,0,3
02-03-2020,1352617320,5,0,3
03-03-2020,1352617320,5,0,3
04-03-2020,1352617297,28,0,3
05-03-2020,1352617295,30,0,3
06-03-2020,1352617294,31,0,3
07-03-2020,1352617291,34,0,3
08-03-2020,1352617286,39,0,3
09-03-2020,1352617282,43,0,3
10-03-2020,1352617268,56,0,4
11-03-2020,1352617261,62,1,4
12-03-2020,1352617250,73,1,4
13-03-2020,1352617240,82,2,4
14-03-2020,1352617220,102,2,4
15-03-2020,1352617200,113,2,13
16-03-2020,1352617194,119,2,13
17-03-2020,1352617169,142,3,14
18-03-2020,1352617155,156,3,14
19-03-2020,1352617115,194,4,15
20-03-2020,1352617059,244,5,20
21-03-2020,1352616971,330,4,23
22-03-2020,1352616898,396,7,27
23-03-2020,1352616792,499,10,27
24-03-2020,1352616742,536,10,40
25-03-2020,1352616616,657,12,43
26-03-2020,1352616536,727,20,45
27-03-2020,1352616348,887,20,73
28-03-2020,1352616233,987,24,84
29-03-2020,1352616182,1024,27,95
30-03-2020,1352615943,1251,32,102
31-03-2020,1352615773,1397,35,123
01-04-2020,1352615124,1998,58,148
02-04-2020,1352614522,2543,72,191
03-04-2020,1352614497,2567,72,192
04-04-2020,1352613931,3082,86,229
